"","LUNCHNUMBER","QLang1","QMA13","QMA33","QMA41_2","QMMRT28","QMMRT29","QICC25","QICC24","QCOG3","QCOG20"
"205",649147,749,1,1,1,0,1,1,1,0,0
"206",649159,770,1,0,1,1,1,1,1,0,0
"207",649161,749,1,1,1,1,1,0,1,0,0
"208",649188,750,0,1,1,0,0,1,0,0,0
"209",649190,770,0,0,1,1,0,0,1,0,1
"210",649203,749,0,1,1,0,1,1,1,0,0
"211",649232,749,1,1,1,0,0,1,1,0,0
"212",649372,749,1,1,1,0,0,1,1,0,0
"213",649374,749,1,1,1,0,0,1,1,0,0
"214",649483,749,1,1,1,1,1,1,1,0,1
"215",649487,753,0,1,1,1,0,1,1,0,0
"216",649604,749,1,1,0,0,0,1,0,0,0
"217",649614,750,0,0,1,1,1,0,1,0,0
"218",649652,752,1,1,1,0,0,0,1,1,0
"219",649742,749,1,1,1,1,1,1,1,0,0
"220",649772,750,0,1,1,1,0,0,1,1,0
"221",649806,749,1,1,0,0,0,1,1,1,0
"222",649818,749,1,0,1,1,1,0,1,0,0
"223",649833,754,1,1,1,0,0,0,1,0,0
"224",649841,750,1,1,0,1,1,1,1,0,0
"225",649952,749,1,0,1,1,1,1,1,0,0
"226",649966,749,1,1,0,0,0,1,1,0,0
"227",650057,750,0,0,1,0,0,0,1,0,0
"228",650114,750,1,1,1,1,1,1,1,0,0
"229",650163,750,0,1,1,1,1,0,1,0,0
"230",650166,749,1,1,1,1,0,1,1,0,0
"231",650175,749,1,1,1,1,1,0,1,0,0
"232",650199,750,1,1,1,0,0,0,0,1,1
"233",650222,749,0,1,0,0,1,1,1,0,0
"234",650245,750,1,0,1,1,0,0,1,1,1
"235",650246,751,1,0,1,1,0,0,0,0,0
"236",650272,750,1,0,0,0,0,0,0,0,0
"237",650277,749,0,1,0,0,0,1,1,0,0
"238",650283,750,1,0,0,0,0,0,1,1,0
"239",650348,749,1,0,1,1,1,1,1,1,1
"240",650362,749,1,0,1,0,1,0,1,0,0
"241",650382,750,1,1,1,0,1,0,1,0,0
"242",650390,749,0,1,1,1,1,1,1,0,0
"243",650433,750,1,1,1,0,0,0,0,0,0
"244",650455,749,1,0,0,0,0,0,1,0,0
"245",650499,749,0,1,1,0,1,0,1,0,0
"246",650513,749,0,1,1,0,0,0,1,0,0
"247",650567,750,1,0,1,0,0,0,0,0,1
"248",650570,749,0,0,0,1,1,0,1,0,0
"249",650586,749,1,1,1,1,0,0,1,0,0
"250",650599,750,1,0,0,1,0,0,0,0,0
"251",650609,750,1,1,0,0,0,1,1,0,0
"252",650612,750,0,1,0,0,0,1,1,0,0
"253",650630,749,1,0,1,0,1,1,1,0,0
"254",650689,749,1,0,1,0,1,1,1,0,0
"255",650718,749,1,1,1,0,1,1,1,0,0
"256",650740,749,0,1,1,0,1,1,1,0,0
"257",650760,750,1,1,1,0,1,1,1,0,0
"258",650783,749,0,1,1,1,1,1,1,0,0
"259",650793,749,1,0,0,1,1,0,0,0,0
"260",650800,749,1,1,1,0,1,0,1,0,0
"261",650868,749,0,0,1,0,1,1,0,0,0
"262",650884,749,1,1,1,0,1,1,1,0,0
"263",650888,749,1,1,1,1,1,0,1,0,0
"264",650983,749,1,1,1,1,1,0,0,0,1
"265",651182,749,0,1,1,0,0,1,1,0,0
"266",651190,749,0,0,0,0,1,1,0,0,0
"267",651257,749,0,1,1,1,1,0,1,0,0
"268",651258,749,0,0,0,0,0,1,1,0,0
"269",651261,749,1,1,0,1,1,1,1,0,0
"270",651271,749,1,1,0,0,0,0,0,0,0
"271",651280,749,0,0,1,1,1,1,1,0,0
"272",651337,749,1,1,0,1,1,0,1,0,0
"273",651349,749,0,1,0,1,0,0,0,0,0
"274",651352,749,1,0,0,0,1,1,1,0,0
"275",651354,749,1,0,1,0,1,1,1,0,0
"276",651365,749,1,1,0,0,1,1,1,0,0
"277",651753,750,1,0,1,1,0,0,1,0,0
"278",651876,749,1,0,1,0,0,1,1,0,0
"279",651894,750,1,1,0,0,0,1,1,0,0
"280",651913,750,1,1,1,1,1,0,1,0,1
"281",651950,749,1,0,0,0,1,1,1,0,0
"282",651960,752,1,1,1,1,1,1,0,0,0
"283",651962,749,1,1,1,0,1,1,1,0,0
"284",651994,749,1,0,1,1,0,1,1,1,1
"285",652011,750,0,1,0,0,0,0,0,0,0
"286",652187,750,1,1,1,1,1,1,1,0,0
"287",652208,749,0,1,1,0,0,1,1,0,0
"288",652211,750,1,0,1,0,1,0,0,0,0
"289",652318,750,0,1,1,0,1,1,1,0,1
"290",652329,750,1,1,1,0,0,0,0,0,0
